,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,label_bike,label_stairs,label_stand,label_walk
372.5,-0.12333333333333332,-0.9939999999999998,-0.04000000000000001,0.03433333333333334,-0.031000000000000003,-0.008,0.1523333333333334,-0.017000000000000005,-0.018333333333333333,1014.0826666666668,-2.5200000000000005,33.11800000000001,11.98,16.40933333333333,98.36433333333329,-8.063666666666666,80.65000000000002,0,0,1,0
372.75,-0.13766666666666666,-0.9986666666666666,-0.03933333333333334,0.004333333333333336,-0.06333333333333334,0.005,-0.011666666666666665,-0.06666666666666668,-0.05066666666666667,1014.0943333333333,-2.0700000000000003,33.69599999999999,12.045999999999998,17.172,98.16233333333336,-7.936000000000002,83.33333333333334,0,0,1,0
373.0,-0.14483870967741935,-0.9951612903225807,-0.029032258064516134,0.003225806451612903,-0.04483870967741937,0.0006451612903225806,-0.04548387096774193,-0.046451612903225824,0.013870967741935483,1014.0887096774196,-2.1425806451612903,33.86129032258064,11.901290322580644,17.21483870967742,98.26741935483875,-8.047419354838713,82.4361290322581,0,0,1,0
373.25,-0.1376666666666667,-0.9983333333333333,-0.030000000000000006,0.015000000000000003,-0.008666666666666666,0.0,0.02666666666666667,-0.07199999999999998,-0.013666666666666664,1014.0903333333331,-1.7240000000000004,33.62400000000001,11.574,16.886999999999997,98.239,-8.061,80.795,0,0,1,0
373.5,-0.14193548387096774,-0.9945161290322578,-0.029677419354838714,0.0025806451612903226,0.02225806451612903,0.0,-0.021290322580645157,-0.05032258064516129,-0.014838709677419354,1014.0912903225807,-2.494838709677419,33.81483870967742,12.681290322580653,16.54870967741935,98.22967741935483,-8.065161290322582,79.63903225806455,0,0,1,0
373.75,-0.14,-0.9956666666666667,-0.027000000000000003,0.006333333333333334,0.006666666666666666,-0.002,0.017,-0.042333333333333334,-0.012999999999999996,1014.0773333333333,-2.5020000000000002,33.812000000000005,12.764000000000006,16.837999999999997,98.1803333333333,-8.034666666666668,79.32000000000001,0,0,1,0
374.0,-0.1406666666666667,-0.9949999999999999,-0.02533333333333334,-0.003999999999999998,0.06966666666666668,-0.0020000000000000005,-0.019,-0.05000000000000001,0.04266666666666667,1014.0743333333334,-2.7799999999999994,33.72599999999999,12.474000000000006,17.005,98.17466666666665,-8.009333333333334,79.5,0,0,1,0
374.25,-0.1603225806451613,-0.9896774193548384,-0.024516129032258072,0.03516129032258065,0.12161290322580648,-0.007741935483870968,-0.15645161290322585,-0.004193548387096778,0.024516129032258072,1014.0699999999999,-3.278709677419355,33.53032258064516,12.007741935483875,18.68645161290322,98.2077419354839,-8.049354838709675,80.4793548387097,0,0,1,0
374.5,-0.11500000000000002,-1.0016666666666665,-0.02666666666666667,0.017333333333333326,0.02333333333333333,-0.010333333333333332,0.19333333333333336,-0.10366666666666666,-0.051333333333333335,1014.072666666667,-4.4079999999999995,33.864,13.012000000000002,21.182333333333343,97.82200000000005,-7.7173333333333325,79.65400000000001,0,0,1,0
374.75,-0.14193548387096774,-0.9958064516129035,-0.028387096774193554,-0.006774193548387096,-0.05903225806451613,0.001290322580645161,-0.07387096774193548,-0.010322580645161292,0.0096774193548387,1014.0800000000005,-5.047741935483872,33.75483870967742,14.415483870967737,20.61838709677419,97.69451612903225,-7.563870967741933,78.96161290322581,0,0,1,0
375.0,-0.13399999999999998,-0.9966666666666666,-0.019000000000000003,0.017333333333333333,0.054333333333333345,-0.029000000000000012,-0.08600000000000002,-0.054666666666666655,0.016333333333333335,1014.0740000000001,-5.280000000000002,34.086000000000006,13.894000000000002,21.036999999999995,97.78399999999998,-7.670333333333332,78.68333333333334,0,0,1,0
